Responder_id,LanguagesWorkedWith
99,Rust;Bash/Shell/PowerShell;C
100,C;JavaScript
101,PHP;Other(s);Rust;SQL;Ruby;Go;C
102,Ruby;C#;SQL;Python
103,JavaScript;C
104,JavaScript;SQL;Go;Ruby;C;PHP;Assembly
105,TypeScript;Ruby;C++
106,C;C#;Assembly
107,C++;SQL
108,TypeScript;R
109,Rust
110,R;SQL;VBA;HTML/CSS;Rust;Bash/Shell/PowerShell
111,Other(s);SQL;Go;JavaScript
112,HTML/CSS
113,Go;Bash/Shell/PowerShell;Other(s);R;Rust
114,R;HTML/CSS
115,HTML/CSS;C++;Ruby;Rust;JavaScript;SQL;Go
116,HTML/CSS;Python;Other(s)
117,Ruby
118,Assembly;C++;Other(s)
119,R;HTML/CSS;C;Bash/Shell/PowerShell
120,Java;Other(s)
121,C;C#
122,C#
123,SQL;VBA;C#
124,JavaScript;HTML/CSS;Bash/Shell/PowerShell
125,C++;Java;VBA;Python;PHP;Other(s);Rust
126,TypeScript
127,Ruby;R;Java;Assembly;HTML/CSS
128,PHP;Java;Go
129,Rust;SQL
130,Ruby;Assembly
131,C;C#;Ruby;Bash/Shell/PowerShell
132,SQL;Assembly;JavaScript;C#;PHP
133,Bash/Shell/PowerShell;R
134,R;Python
135,PHP;C++;JavaScript;TypeScript;Ruby;HTML/CSS;Bash/Shell/PowerShell
136,C++;R;Rust;Other(s);Go;VBA;SQL
137,Go;PHP;Other(s);C#;Ruby
138,HTML/CSS;Rust
139,JavaScript;Python;Java;Assembly
140,R;C++;HTML/CSS;SQL;Python
141,Other(s);Ruby
142,TypeScript;Rust;Assembly;C#;HTML/CSS;VBA;R
143,Go;SQL
144,Java
145,HTML/CSS
146,Python;Go;R;SQL
147,HTML/CSS;Other(s);TypeScript
148,Ruby;C++;SQL;Bash/Shell/PowerShell
149,Ruby
150,Bash/Shell/PowerShell;TypeScript;HTML/CSS;Ruby;Assembly;R;C++
151,JavaScript;PHP;R
152,C;Java
153,Ruby;Go
154,JavaScript;PHP
155,Other(s);Go;TypeScript;Ruby
156,C;Java
157,Go;Ruby;JavaScript
158,JavaScript;C;Java;Ruby
159,SQL;Java;Assembly;Ruby;C#;HTML/CSS;Go
160,Bash/Shell/PowerShell
161,C#;Python
162,HTML/CSS;C#
163,Ruby;PHP;SQL;Bash/Shell/PowerShell;HTML/CSS;C;JavaScript
164,Other(s);PHP;SQL
165,Java;Bash/Shell/PowerShell;C
166,SQL;Rust;Assembly;C;PHP;VBA
167,Go;Java;Assembly;C#;JavaScript;Bash/Shell/PowerShell
168,JavaScript;Bash/Shell/PowerShell
169,HTML/CSS;C++
170,TypeScript;Assembly
171,R;C#;TypeScript;C++;Bash/Shell/PowerShell
172,Java;Bash/Shell/PowerShell;JavaScript;C;Go;TypeScript
173,Assembly;Ruby;JavaScript;SQL;HTML/CSS
174,SQL;Python;VBA;PHP;C
175,Bash/Shell/PowerShell;HTML/CSS;SQL;Java
176,Other(s)
177,HTML/CSS;C#;Assembly;Ruby;Bash/Shell/PowerShell;PHP;C++
178,Python;Assembly;JavaScript;VBA;PHP;Ruby
179,C#;Java;Other(s);VBA
180,Ruby;PHP;R;Assembly;VBA;SQL
181,VBA;Java;Go;R
182,Ruby;R;Java;SQL;C++;Go
183,HTML/CSS;Go;Assembly;VBA;PHP;Ruby
184,PHP;Rust;VBA;Other(s)
185,C;C++;Rust;Ruby;Assembly;Java
186,C++;C#;VBA
187,VBA;Rust;JavaScript;Other(s);Go
188,SQL;C++;HTML/CSS;Ruby
189,Assembly;Python;C++;TypeScript;Java;C#
190,Java
191,C;Assembly;Rust;Go;PHP
192,Rust;SQL;C++
193,C#;Python;JavaScript;Other(s);Ruby;Assembly;HTML/CSS
194,SQL;Bash/Shell/PowerShell;TypeScript;R
195,Bash/Shell/PowerShell;R;C#
196,Go;Rust
197,VBA;Rust;Assembly;Ruby;C;Python;PHP
198,PHP
199,Ruby
200,R;Go;Other(s);SQL;Python
